seed_name,seed_variety,seed_type,seed_quality,crop,season,soil_type,field_composition,soil_ph,temperature,humidity,rainfall,moisture,field_quality,field_history,state,district,recommended_crop,recommended_seed,area,production,yield
Maize seed,PMH1,Desi,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.9,30,65,625,41,High,Rice,Bihar,Patna,Maize,PMH1,196,1219,3633
Wheat seed,Lok1,HYV,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.6,17,45,420,55,Low,Soybean,Andhra Pradesh,Kurnool,Wheat,HD2967,467,1990,3978
Maize seed,PMH1,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.4,25,71,541,80,Medium,Wheat,West Bengal,Bardhaman,Maize,HQPM1,272,772,3909
Cotton seed,Bunny Bt,Hybrid,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.0,25,65,643,41,High,Soybean,Madhya Pradesh,Jabalpur,Cotton,Bt Cotton,330,1306,3804
Maize seed,PMH1,HYV,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.9,30,57,697,63,Low,Wheat,Odisha,Puri,Maize,DHM117,359,1511,3943
Maize seed,PMH1,HYV,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.5,25,69,596,51,Low,Wheat,Madhya Pradesh,Ujjain,Maize,PMH1,449,106,2293
Wheat seed,HD3086,Desi,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.3,20,50,635,85,Low,Soybean,Gujarat,Junagadh,Wheat,HD2967,205,755,2813
Bajra seed,ICTP8203,Desi,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.1,32,51,513,38,High,Mustard,Odisha,Cuttack,Bajra,ICTP8203,342,1262,4383
Cotton seed,Bollgard,Desi,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.8,29,52,702,36,High,Fallow,Madhya Pradesh,Ujjain,Cotton,Bunny Bt,169,467,4456
Mustard seed,Varuna,Hybrid,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.7,22,60,364,33,Medium,Fallow,Chhattisgarh,Rajnandgaon,Mustard,Varuna,497,1853,3947
Rice seed,MTU7029,HYV,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.6,27,85,989,45,Low,Pulses,Gujarat,Surat,Rice,IR64,174,409,4042
Wheat seed,Lok1,HYV,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.3,25,53,494,26,Medium,Maize,Gujarat,Surat,Wheat,PBW343,256,968,2977
Cotton seed,Bunny Bt,Hybrid,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.2,29,68,708,70,Low,Groundnut,Rajasthan,Ajmer,Cotton,Bollgard,484,149,1608
Soybean seed,JS9560,Hybrid,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.9,27,58,679,33,High,Cotton,Odisha,Balasore,Soybean,JS9560,352,1032,2835
Bajra seed,RHB121,HYV,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.5,31,58,547,44,Low,Fallow,Punjab,Amritsar,Bajra,HHB67,201,1435,3813
Mustard seed,Varuna,Hybrid,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.5,18,41,384,37,High,Wheat,West Bengal,Bardhaman,Mustard,RH30,440,1200,4664
Wheat seed,Lok1,Desi,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.0,21,61,579,40,Low,Soybean,Telangana,Hyderabad,Wheat,Lok1,138,1308,3969
Mustard seed,Varuna,Hybrid,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.5,10,48,306,50,Low,Fallow,West Bengal,Murshidabad,Mustard,RH30,334,1596,3688
Rice seed,BPT5204,Hybrid,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.8,29,88,1394,72,Medium,Wheat,Gujarat,Surat,Rice,IR64,83,1791,2576
Bajra seed,ICTP8203,Desi,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",5.9,31,57,564,68,Medium,Mustard,Telangana,Nizamabad,Bajra,ICTP8203,290,899,2129
Rice seed,MTU7029,HYV,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.2,30,81,1221,70,Medium,Wheat,Haryana,Sirsa,Rice,Swarna,113,1871,2534
Cotton seed,RCH2,Hybrid,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.3,32,50,878,63,Medium,Fallow,Odisha,Puri,Cotton,Bollgard,135,1899,3580
Soybean seed,JS335,Hybrid,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.0,21,54,558,70,High,Fallow,Karnataka,Belagavi,Soybean,NRC37,353,887,3599
Wheat seed,HD3086,Desi,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.3,22,47,571,85,High,Rice,Karnataka,Raichur,Wheat,HD2967,92,1237,1849
Rice seed,IR64,HYV,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.1,24,88,1235,29,High,Fallow,Gujarat,Ahmedabad,Rice,BPT5204,79,1282,3886
Rice seed,IR64,HYV,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.5,25,74,1155,34,Medium,Wheat,Bihar,Muzaffarpur,Rice,MTU7029,368,134,2573
Soybean seed,JS9560,HYV,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.5,22,68,818,41,Low,Cotton,Madhya Pradesh,Indore,Soybean,JS9560,433,990,1512
Bajra seed,ICTP8203,Desi,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.3,31,47,480,58,Medium,Gram,Madhya Pradesh,Ujjain,Bajra,RHB121,344,718,1871
Soybean seed,JS9560,Hybrid,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.1,30,72,892,45,High,Cotton,Andhra Pradesh,Kurnool,Soybean,NRC37,207,1827,1998
Mustard seed,Pusa Bold,HYV,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.5,24,55,403,55,Low,Bajra,Chhattisgarh,Rajnandgaon,Mustard,RH30,497,1051,1585
Gram seed,JG16,Hybrid,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.1,21,56,472,85,Low,Fallow,Tamil Nadu,Chennai,Gram,JG11,60,1585,3882
Cotton seed,Bunny Bt,HYV,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.5,28,50,668,46,High,Groundnut,Uttar Pradesh,Meerut,Cotton,RCH2,92,1858,3305
Gram seed,JG16,Hybrid,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.7,23,54,354,74,Medium,Soybean,Punjab,Patiala,Gram,JG11,105,1043,3289
Mustard seed,RH30,HYV,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.9,15,44,497,56,High,Wheat,Uttar Pradesh,Kanpur,Mustard,Pusa Bold,137,1442,1998
Wheat seed,HD2967,Hybrid,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.1,24,51,537,84,High,Maize,Haryana,Karnal,Wheat,HD2967,136,1893,2001
Wheat seed,HD2967,Desi,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.9,21,49,549,73,High,Maize,Bihar,Gaya,Wheat,HD3086,119,1327,2953
Soybean seed,JS335,Hybrid,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.1,26,63,900,47,Medium,Fallow,Andhra Pradesh,Guntur,Soybean,JS9560,331,1359,2233
Soybean seed,JS335,Hybrid,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.4,28,57,867,43,Low,Wheat,Madhya Pradesh,Ujjain,Soybean,NRC37,192,817,4080
Maize seed,HQPM1,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.9,23,67,739,70,Medium,Fallow,Chhattisgarh,Durg,Maize,Ganga5,76,803,2603
Cotton seed,Bollgard,HYV,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.1,25,65,754,74,High,Soybean,Telangana,Nizamabad,Cotton,Bunny Bt,442,366,3915
Wheat seed,PBW343,Hybrid,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.2,18,54,536,66,Low,Rice,Bihar,Muzaffarpur,Wheat,HD2967,223,999,1761
Cotton seed,RCH2,Desi,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.0,30,58,652,84,Medium,Fallow,Haryana,Hisar,Cotton,Bt Cotton,83,1653,1995
Bajra seed,HHB67,Desi,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.1,26,56,323,80,Low,Mustard,Uttar Pradesh,Varanasi,Bajra,RHB121,201,1398,1631
Rice seed,IR64,Desi,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",5.9,25,71,1243,51,High,Wheat,Uttar Pradesh,Varanasi,Rice,MTU7029,333,121,2658
Gram seed,JG16,Desi,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.8,15,57,382,31,Low,Soybean,Punjab,Ludhiana,Gram,Pusa372,432,257,3974
Wheat seed,Lok1,Hybrid,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.1,23,46,517,78,High,Maize,Maharashtra,Akola,Wheat,HD2967,398,1663,3597
Soybean seed,JS9560,HYV,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.2,20,70,850,69,High,Cotton,Chhattisgarh,Rajnandgaon,Soybean,JS9560,314,400,2639
Maize seed,PMH1,HYV,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.7,25,62,542,52,High,Rice,Andhra Pradesh,Anantapur,Maize,Ganga5,238,1522,3805
Maize seed,PMH1,Desi,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.6,24,74,620,55,Medium,Rice,Gujarat,Ahmedabad,Maize,DHM117,171,489,3740
Mustard seed,Pusa Bold,Hybrid,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.4,17,49,413,41,Medium,Fallow,Telangana,Hyderabad,Mustard,Pusa Bold,229,302,4303
Bajra seed,HHB67,Desi,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.3,29,46,549,59,Low,Fallow,Tamil Nadu,Coimbatore,Bajra,ICTP8203,286,189,2269
Maize seed,PMH1,HYV,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.6,20,59,764,77,Medium,Fallow,Bihar,Bhagalpur,Maize,DHM117,204,1725,4978
Maize seed,DHM117,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",5.9,21,73,709,38,Medium,Wheat,Rajasthan,Kota,Maize,Ganga5,179,1059,3124
Maize seed,DHM117,HYV,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.0,27,51,533,57,Medium,Wheat,Chhattisgarh,Raipur,Maize,HQPM1,399,125,1893
Cotton seed,RCH2,Desi,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.2,25,50,708,84,High,Groundnut,Uttar Pradesh,Kanpur,Cotton,Bt Cotton,205,157,4710
Rice seed,BPT5204,Desi,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.1,24,90,1349,51,Low,Wheat,West Bengal,Murshidabad,Rice,MTU7029,304,1230,1724
Wheat seed,HD2967,Hybrid,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.5,15,48,525,30,High,Rice,Karnataka,Belagavi,Wheat,Lok1,477,832,3759
Gram seed,Pusa372,Desi,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.8,19,36,352,30,Medium,Fallow,Punjab,Bathinda,Gram,Pusa372,499,1962,2896
Cotton seed,Bunny Bt,Desi,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.1,22,65,885,58,Low,Soybean,Karnataka,Dharwad,Cotton,RCH2,371,571,2285
Gram seed,JG11,Hybrid,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.2,18,56,472,46,Medium,Soybean,Maharashtra,Akola,Gram,JG11,136,876,2174
Mustard seed,RH30,Desi,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.4,10,50,333,44,Medium,Wheat,Gujarat,Surat,Mustard,Pusa Bold,220,545,1620
Mustard seed,RH30,Hybrid,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.1,13,52,381,38,High,Bajra,Maharashtra,Nashik,Mustard,Varuna,290,1766,2359
Rice seed,IR64,Desi,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.2,32,76,1140,56,Medium,Pulses,Haryana,Rohtak,Rice,MTU7029,186,1553,1689
Soybean seed,JS9560,HYV,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.4,21,58,768,34,Low,Fallow,Andhra Pradesh,Kurnool,Soybean,JS9560,480,697,3778
Maize seed,PMH1,Desi,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",5.9,20,59,514,85,Medium,Fallow,Gujarat,Surat,Maize,PMH1,231,808,3418
Mustard seed,RH30,Desi,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.3,18,36,441,70,Medium,Fallow,Maharashtra,Akola,Mustard,RH30,272,577,2475
Rice seed,BPT5204,Hybrid,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.5,25,85,1333,50,Low,Fallow,Tamil Nadu,Coimbatore,Rice,BPT5204,454,780,4939
Rice seed,BPT5204,HYV,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.0,31,82,1097,78,Medium,Wheat,Gujarat,Junagadh,Rice,MTU7029,450,1415,4470
Wheat seed,HD3086,Desi,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.1,19,62,622,75,High,Maize,Odisha,Sambalpur,Wheat,HD2967,308,132,4909
Bajra seed,ICTP8203,Hybrid,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.7,26,53,557,38,Low,Mustard,Maharashtra,Pune,Bajra,RHB121,328,888,4122
Rice seed,IR64,Desi,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.4,26,79,1190,47,Medium,Wheat,West Bengal,Kolkata,Rice,BPT5204,474,1784,3649
Bajra seed,HHB67,HYV,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.9,28,50,486,44,High,Mustard,Haryana,Rohtak,Bajra,HHB67,254,149,2714
Cotton seed,Bunny Bt,HYV,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.0,28,51,872,56,Low,Soybean,Odisha,Cuttack,Cotton,Bollgard,459,335,2947
Mustard seed,RH30,HYV,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.2,25,53,431,73,Medium,Wheat,Andhra Pradesh,Kurnool,Mustard,Pusa Bold,96,480,3909
Cotton seed,Bunny Bt,Hybrid,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.2,29,65,727,41,High,Fallow,Rajasthan,Kota,Cotton,Bt Cotton,409,854,3619
Rice seed,MTU7029,HYV,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.5,28,87,991,57,Medium,Wheat,Telangana,Nizamabad,Rice,MTU7029,171,829,3373
Soybean seed,NRC37,HYV,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.3,21,58,730,27,High,Cotton,Bihar,Muzaffarpur,Soybean,JS9560,56,840,3405
Bajra seed,ICTP8203,HYV,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",5.7,33,45,488,83,High,Gram,West Bengal,Murshidabad,Bajra,HHB67,367,697,2544
Soybean seed,NRC37,Hybrid,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.1,24,50,669,31,Low,Fallow,West Bengal,Kolkata,Soybean,JS9560,153,1164,2593
Maize seed,PMH1,HYV,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.9,21,68,545,56,Low,Fallow,Telangana,Karimnagar,Maize,HQPM1,118,212,3410
Soybean seed,JS335,Hybrid,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.5,30,68,900,60,Medium,Fallow,Haryana,Hisar,Soybean,NRC37,182,765,2356
Rice seed,MTU7029,HYV,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",5.6,29,88,1265,56,High,Fallow,Uttar Pradesh,Varanasi,Rice,BPT5204,102,1764,2272
Bajra seed,HHB67,Desi,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",7.0,25,39,310,35,Medium,Mustard,Chhattisgarh,Durg,Bajra,HHB67,352,173,1695
Rice seed,MTU7029,HYV,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.0,26,85,1299,60,Low,Pulses,Bihar,Bhagalpur,Rice,MTU7029,292,548,2236
Bajra seed,ICTP8203,HYV,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",5.6,27,38,313,83,High,Mustard,Maharashtra,Pune,Bajra,RHB121,121,1627,2767
Rice seed,BPT5204,Hybrid,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",5.7,30,76,1374,85,High,Fallow,Gujarat,Junagadh,Rice,IR64,360,1999,4460
Maize seed,PMH1,HYV,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.5,22,55,533,37,Low,Fallow,Maharashtra,Akola,Maize,Ganga5,86,689,3745
Wheat seed,HD3086,HYV,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.3,23,45,469,51,Medium,Rice,Karnataka,Mysuru,Wheat,HD3086,138,1198,3977
Soybean seed,JS9560,Desi,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.0,25,51,886,44,Medium,Wheat,Rajasthan,Ajmer,Soybean,JS335,333,1341,2263
Cotton seed,RCH2,HYV,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.0,32,46,676,57,Low,Fallow,Gujarat,Ahmedabad,Cotton,Bt Cotton,383,1136,4267
Soybean seed,JS9560,Desi,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.6,27,71,546,54,Medium,Fallow,West Bengal,Bardhaman,Soybean,NRC37,330,1810,3247
Cotton seed,Bollgard,Desi,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.2,31,65,823,39,Low,Soybean,Uttar Pradesh,Meerut,Cotton,RCH2,472,205,2791
Rice seed,BPT5204,HYV,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.5,30,90,1230,30,Low,Fallow,Haryana,Hisar,Rice,MTU7029,138,532,2924
Mustard seed,RH30,Desi,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.3,14,55,306,69,High,Bajra,Chhattisgarh,Bilaspur,Mustard,Pusa Bold,376,1736,4636
Maize seed,PMH1,Desi,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.5,27,59,705,45,Low,Wheat,Karnataka,Belagavi,Maize,DHM117,120,1091,2742
Gram seed,Pusa372,Hybrid,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.4,22,50,307,28,High,Fallow,Gujarat,Rajkot,Gram,Pusa372,124,1483,3110
Maize seed,PMH1,Desi,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",5.9,24,65,589,54,High,Fallow,Chhattisgarh,Raipur,Maize,Ganga5,212,1921,1986
Soybean seed,JS9560,Desi,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.0,23,61,559,66,High,Cotton,Telangana,Warangal,Soybean,NRC37,211,1705,3763
Wheat seed,PBW343,HYV,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.0,16,58,475,65,High,Soybean,Tamil Nadu,Chennai,Wheat,HD2967,457,133,4577
Mustard seed,Varuna,Hybrid,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.4,23,42,454,30,Medium,Bajra,Chhattisgarh,Raipur,Mustard,Varuna,282,1430,2948
Cotton seed,Bunny Bt,HYV,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.3,31,45,816,81,Low,Fallow,Maharashtra,Akola,Cotton,Bt Cotton,166,1000,4169
Gram seed,JG16,HYV,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.4,17,57,327,44,Low,Rice,Gujarat,Junagadh,Gram,JG16,181,964,3551
Rice seed,MTU7029,HYV,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.1,26,80,1056,69,High,Wheat,Odisha,Puri,Rice,IR64,328,1527,2800
Maize seed,Ganga5,HYV,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.0,22,64,612,72,High,Rice,Chhattisgarh,Rajnandgaon,Maize,PMH1,282,274,1600
Maize seed,PMH1,Hybrid,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.0,21,62,734,63,High,Rice,Andhra Pradesh,Anantapur,Maize,Ganga5,455,1062,2471
Cotton seed,Bollgard,Desi,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.3,30,70,708,56,Low,Groundnut,Telangana,Warangal,Cotton,Bunny Bt,271,1801,2901
Maize seed,Ganga5,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.8,24,58,629,68,High,Fallow,Tamil Nadu,Thanjavur,Maize,DHM117,236,1591,4004
Mustard seed,Varuna,HYV,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.5,14,53,477,28,Medium,Fallow,Punjab,Ludhiana,Mustard,Varuna,113,1154,2846
Gram seed,Pusa372,HYV,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.2,16,38,456,45,Medium,Fallow,Haryana,Rohtak,Gram,Pusa372,334,1659,4234
Cotton seed,Bollgard,HYV,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.3,30,69,717,43,Low,Groundnut,Rajasthan,Jaipur,Cotton,Bunny Bt,234,1516,3122
Mustard seed,Pusa Bold,Hybrid,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.5,18,37,447,50,High,Bajra,West Bengal,Bardhaman,Mustard,RH30,105,704,4854
Maize seed,HQPM1,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.9,24,50,505,64,Low,Fallow,Rajasthan,Jaipur,Maize,PMH1,413,1262,3986
Bajra seed,RHB121,Hybrid,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.3,33,59,308,74,High,Mustard,Haryana,Sirsa,Bajra,HHB67,81,1989,4243
Gram seed,Pusa372,Hybrid,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.3,20,53,391,55,High,Rice,Chhattisgarh,Durg,Gram,JG16,448,1879,2584
Cotton seed,Bunny Bt,Hybrid,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.9,29,59,764,43,Low,Soybean,Maharashtra,Nashik,Cotton,Bt Cotton,429,1202,2790
